Reviewer;Titel;Autoren;Veröffentlicht;DOI;Studientyp;Diagnose (ICD);Zielstellung;Population;Ökonomisch Perspektive;Primäre Mes;Komparator;Zeithorizont;Diskontier;Intervention;Produktbeze;TRL;Kategorie na;Modelltyp;Begründung;Externe Moc;Modellierun;Quelle für;Validierung;Nutzenmess;Befragung;Nutzung von;Punktschätz;Wahrscheinl;Fazit;Robustness;Notizen
Milan P;Health Care Economics;Feldstein P;2011;10.1016/j.jval.mock.010;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Milan P;Understanding Health Economics;McPake B et al.;2013;10.1016/j.jval.mock.011;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;The Economics of US Health Care Policy;Phelps C;2017;10.1016/j.jval.mock.012;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Essentials of Health Economics;Dewar D;2017;10.1016/j.jval.mock.013;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Health Economics and Financing;Getzen T;2012;10.1016/j.jval.mock.014;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Introduction to Health Economics;Wonderling D et al.;2005;10.1016/j.jval.mock.015;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Milan P;Economics for Health Care Management;Lee R;2014;10.1016/j.jval.mock.016;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Global Health Economics;Vassall A et al.;2019;10.1016/j.jval.mock.017;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Measuring and Valuing Health Benefits for Economic Evaluation;Brazier J et al.;2016;10.1016/j.jval.mock.018;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Distributional Cost-Effectiveness Analysis;Asaria M et al.;2020;10.1016/j.jval.mock.019;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Economics of Public Health;Brown R;2010;10.1016/j.jval.mock.020;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Milan P;Behavioral Economics and Public Health;Roberto C et al.;2015;10.1016/j.jval.mock.021;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Applied Methods of Cost-effectiveness Analysis in Healthcare;Gray A et al.;2010;10.1016/j.jval.mock.022;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Cost-Benefit Analysis and Health Care Evaluations;Johannesson M;1996;10.1016/j.jval.mock.023;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Max O;Health System Economics;Mossialos E;2020;10.1016/j.jval.mock.024;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Public Health: An Introduction;Boulton M et al.;2021;10.1016/j.jval.mock.025;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Milan P;Introduction to Public Health;Schneider M;2020;10.1016/j.jval.mock.026;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Oxford Textbook of Global Public Health;Detels R et al.;2021;10.1016/j.jval.mock.027;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Public Health 101;Riegelman R et al.;2014;10.1016/j.jval.mock.028;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Essentials of Public Health;Turnock B;2015;10.1016/j.jval.mock.029;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Principles of Public Health Practice;Scutchfield F et al.;2009;10.1016/j.jval.mock.030;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Max O;Epidemiology;Gordis L;2013;10.1016/j.jval.mock.031;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Global Health 101;Skolnik R;2019;10.1016/j.jval.mock.032;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Textbook of International Health;Birn A et al.;2017;10.1016/j.jval.mock.033;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Maxcy-Rosenau-Last Public Health;Boulton M;2021;10.1016/j.jval.mock.034;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Contemporary Public Health;Holsinger J;2012;10.1016/j.jval.mock.035;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Milan P;Public Health Law;Gostin L et al.;2016;10.1016/j.jval.mock.036;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Ethics and Public Health;Dawson A;2011;10.1016/j.jval.mock.037;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Public Health Leadership;Rowitz L;2013;10.1016/j.jval.mock.038;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Theory at a Glance;Glanz K et al.;2005;10.1016/j.jval.mock.039;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Health Behavior: Theory Research and Practice;Glanz K et al.;2015;10.1016/j.jval.mock.040;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Katharina Z;Foundations of Infectious Disease;Mayer D;2019;10.1016/j.jval.mock.041;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Public Health Administration;Novick L et al.;2007;10.1016/j.jval.mock.042;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Environmental Health: From Global to Local;Frumkin H;2016;10.1016/j.jval.mock.043;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Social Injustice and Public Health;Levy B et al.;2013;10.1016/j.jval.mock.044;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Public Health Informatics and Information Systems;Magnuson J et al.;2014;10.1016/j.jval.mock.045;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Milan P;Community and Public Health Education Methods;Bensley R et al.;2017;10.1016/j.jval.mock.046;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Evidence-Based Public Health;Brownson R et al.;2017;10.1016/j.jval.mock.047;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Global Population Health;McCracken K et al.;2017;10.1016/j.jval.mock.048;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Max O;Mastering Public Health;Lewis G et al.;2014;10.1016/j.jval.mock.049;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Health and Social Justice;Anand S et al.;2004;10.1016/j.jval.mock.050;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Milan P;Practical Public Health Nutrition;Hughes R et al.;2011;10.1016/j.jval.mock.051;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Essentials of Environmental Health;Friis R;2018;10.1016/j.jval.mock.052;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Essentials of Global Health;Skolnik R;2008;10.1016/j.jval.mock.053;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Introduction to Global Health;Jacobsen K;2018;10.1016/j.jval.mock.054;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
